transaction_id,customer_id,transaction_hour,account_age_days,previous_chargebacks,merchant_category,transaction_country,device_type,is_international,is_high_risk_merchant,transaction_amount,transaction_velocity_1h,transaction_velocity_24h,avg_transaction_amount_30d,risk_label
TXN0000000,CUST00102,13,395.0,0.0,online_services,CA,mobile,1,1,174.76,6.0,5.0,257.88,0
TXN0000001,CUST00435,23,,0.0,grocery,US,mobile,0,0,428.85,1.0,1.0,495.38,0
TXN0000002,CUST00860,25,1212.0,0.0,grocery,US,mobile,0,0,411.69,0.0,2.0,-640.15,0
TXN0000003,CUST00270,21,126.0,0.0,electronics,US,tablet,0,0,128.27,3.0,2.0,546.43,0
TXN0000004,CUST00106,6,-705.0,2.0,restaurant,US,mobile,0,0,736.38,2.0,11.0,462.64,0
TXN0000005,CUST00071,20,493.0,0.0,grocery,US,mobile,0,0,106.03,0.0,1.0,219.53,0
TXN0000006,CUST00700,6,509.0,0.0,restaurant,,mobile,1,0,2111.86,0.0,0.0,450.12,0
TXN0000007,CUST00020,0,216.0,0.0,fuel,US,mobile,0,0,,0.0,1.0,256.07,0
TXN0000008,CUST00614,16,573.0,0.0,electronics,US,mobile,0,0,122.92,1.0,3.0,343.6,0
TXN0000009,CUST00121,8,115.0,0.0,,AU,tablet,1,0,882.63,0.0,2.0,661.74,0
TXN0000010,CUST00466,20,671.0,0.0,restaurant,UK,mobile,1,0,225.02,0.0,3.0,356.52,0
TXN0000011,CUST00214,12,1007.0,0.0,travel,US,mobile,0,1,396.69,1.0,4.0,430.39,0
TXN0000012,CUST00330,-20,426.0,0.0,online_services,US,mobile,0,1,229.24,0.0,1.0,472.24,0
TXN0000013,CUST00458,18,795.0,0.0,grocery,UK,desktop,1,0,140.97,0.0,5.0,509.01,0
TXN0000014,CUST00087,20,222.0,0.0,grocery,CA,,1,0,141.07,0.0,1.0,189.89,0
TXN0000015,CUST00372,18,623.0,0.0,grocery,US,desktop,0,0,487.89,0.0,2.0,427.92,0
TXN0000016,CUST00099,21,479.0,0.0,restaurant,IN,tablet,1,0,293.51,1.0,2.0,336.02,0
TXN0000017,CUST00871,16,872.0,,fashion,CA,mobile,1,0,640.6,1.0,2.0,645.08,0
TXN0000018,CUST00663,22,609.0,0.0,fuel,AU,tablet,1,0,634.17,0.0,2.0,463.56,0
TXN0000019,CUST00130,22,526.0,0.0,online_services,US,mobile,0,1,388.23,0.0,4.0,437.67,0
TXN0000020,CUST00661,9,177.0,0.0,grocery,US,mobile,0,0,-565.75,1.0,0.0,775.34,0
TXN0000021,CUST00308,9,1131.0,1.0,,US,desktop,0,1,1303.21,1.0,4.0,604.8,0
TXN0000022,CUST00769,3,1060.0,0.0,travel,US,desktop,0,1,331.74,0.0,14.0,363.04,0
TXN0000023,CUST00343,7,316.0,3.0,electronics,US,desktop,0,0,609.8,0.0,5.0,344.1,0
TXN0000024,CUST00491,21,776.0,0.0,fashion,US,mobile,0,0,63.2,2.0,1.0,158.57,0
TXN0000025,CUST00413,19,614.0,0.0,fashion,UK,tablet,1,0,147.28,1.0,3.0,308.0,0
TXN0000026,CUST00805,19,149.0,0.0,restaurant,US,desktop,0,0,778.81,0.0,0.0,276.73,0
TXN0000027,CUST00385,17,281.0,0.0,electronics,US,mobile,0,0,308.18,0.0,3.0,520.25,0
TXN0000028,CUST00191,13,111.0,0.0,online_services,IN,tablet,1,1,177.4,0.0,9.0,489.59,0
TXN0000029,CUST00955,17,89.0,0.0,restaurant,US,tablet,0,0,639.93,0.0,3.0,447.8,0
TXN0000030,CUST00276,13,508.0,0.0,electronics,US,mobile,0,0,171.02,0.0,2.0,204.47,0
TXN0000031,CUST00160,19,549.0,0.0,fuel,UK,desktop,1,0,431.05,1.0,1.0,373.58,0
TXN0000032,CUST00459,20,315.0,2.0,fashion,IN,desktop,1,0,1880.85,0.0,5.0,920.18,0
TXN0000033,CUST00313,23,618.0,0.0,online_services,AU,desktop,1,1,397.76,3.0,4.0,355.78,0
TXN0000034,CUST00021,14,737.0,3.0,fuel,US,mobile,0,0,1531.82,1.0,5.0,362.8,0
TXN0000035,CUST00252,21,-643.0,0.0,online_services,IN,desktop,1,1,357.13,2.0,5.0,331.23,0
TXN0000036,CUST00747,3,338.0,0.0,restaurant,US,tablet,0,0,53.31,1.0,4.0,477.87,0
TXN0000037,CUST00856,12,561.0,0.0,electronics,UK,mobile,1,0,698.3,1.0,0.0,348.15,0
TXN0000038,CUST00560,22,1207.0,1.0,fashion,US,desktop,0,0,1540.56,2.0,6.0,333.5,0
TXN0000039,CUST00474,7,262.0,0.0,fashion,UK,mobile,1,0,191.82,0.0,1.0,520.37,0
TXN0000040,CUST00058,17,580.0,0.0,online_services,US,mobile,0,1,152.93,3.0,0.0,396.79,0
TXN0000041,CUST00510,11,106.0,0.0,online_services,UK,mobile,1,1,270.12,,6.0,222.1,0
TXN0000042,CUST00681,22,756.0,0.0,online_services,UK,desktop,1,1,93.74,1.0,7.0,179.4,0
TXN0000043,CUST00475,13,779.0,0.0,grocery,US,mobile,0,0,520.25,1.0,1.0,404.1,0
TXN0000044,CUST00699,1,571.0,0.0,restaurant,US,mobile,0,0,216.84,2.0,6.0,,0
TXN0000045,CUST00975,17,525.0,0.0,grocery,UK,mobile,1,0,119.18,2.0,3.0,322.42,0
TXN0000046,CUST00782,23,1065.0,0.0,online_services,US,mobile,0,1,416.38,0.0,2.0,375.13,0
TXN0000047,CUST00189,1,,1.0,online_services,US,mobile,0,1,922.01,2.0,9.0,464.65,1
TXN0000048,CUST00957,10,196.0,0.0,fashion,UK,desktop,1,0,470.35,0.0,1.0,487.24,0
TXN0000049,CUST00686,8,546.0,0.0,restaurant,IN,desktop,1,0,-87.57,0.0,1.0,296.55,0
TXN0000050,CUST00957,11,574.0,4.0,restaurant,US,mobile,0,0,1259.37,1.0,4.0,480.51,0
TXN0000051,CUST00562,16,690.0,0.0,,US,mobile,0,0,1021.71,0.0,2.0,423.9,0
TXN0000052,CUST00875,14,544.0,0.0,travel,US,desktop,0,1,236.44,2.0,1.0,428.23,0
TXN0000053,CUST00566,16,402.0,0.0,electronics,US,mobile,0,0,224.73,1.0,0.0,650.77,0
TXN0000054,CUST00243,17,334.0,0.0,travel,US,desktop,0,1,80.46,2.0,2.0,903.71,0
TXN0000055,CUST00831,21,340.0,0.0,travel,UK,mobile,1,1,261.3,1.0,4.0,400.57,0
TXN0000056,CUST00504,5,1147.0,0.0,online_services,CA,mobile,1,1,107.92,4.0,6.0,320.93,0
TXN0000057,CUST00130,16,357.0,0.0,fashion,US,mobile,0,0,622.7,0.0,2.0,347.51,0
TXN0000058,CUST00484,22,79.0,0.0,fuel,UK,mobile,1,0,1704.68,3.0,4.0,745.86,0
TXN0000059,CUST00818,23,606.0,0.0,electronics,US,mobile,0,0,1739.58,0.0,3.0,731.6,0
TXN0000060,CUST00646,17,1063.0,0.0,online_services,US,mobile,0,1,123.37,0.0,0.0,270.83,0
TXN0000061,CUST00020,7,40.0,0.0,online_services,US,mobile,0,1,375.88,1.0,7.0,333.11,0
TXN0000062,CUST00840,8,359.0,0.0,travel,US,mobile,0,1,397.08,2.0,5.0,363.21,0
TXN0000063,CUST00166,5,1217.0,0.0,travel,US,mobile,0,1,203.57,0.0,0.0,250.09,0
TXN0000064,CUST00273,4,663.0,0.0,restaurant,CA,desktop,1,0,247.45,6.0,6.0,388.02,0
TXN0000065,CUST00387,11,348.0,0.0,fashion,CA,mobile,1,0,1743.19,1.0,2.0,860.47,0
TXN0000066,CUST00600,10,441.0,1.0,travel,CA,desktop,1,1,310.69,1.0,3.0,375.06,0
TXN0000067,CUST00315,0,554.0,0.0,electronics,US,desktop,0,0,302.88,3.0,3.0,535.21,0
TXN0000068,CUST00013,10,606.0,0.0,grocery,US,mobile,0,0,331.82,2.0,3.0,308.45,0
TXN0000069,CUST00241,18,789.0,0.0,online_services,CA,desktop,1,1,566.82,1.0,8.0,418.3,0
TXN0000070,CUST00776,8,380.0,0.0,grocery,US,mobile,0,0,122.72,0.0,1.0,523.28,0
TXN0000071,CUST00345,1,597.0,0.0,fashion,UK,mobile,1,0,801.69,2.0,5.0,487.83,0
TXN0000072,CUST00564,11,126.0,0.0,grocery,CA,mobile,1,0,301.86,0.0,0.0,284.42,0
TXN0000073,CUST00897,3,406.0,0.0,restaurant,CA,desktop,1,0,126.09,0.0,3.0,284.91,0
TXN0000074,CUST00339,3,342.0,0.0,restaurant,US,mobile,0,0,211.77,2.0,0.0,453.73,0
TXN0000075,CUST00091,17,416.0,0.0,electronics,IN,mobile,1,0,,2.0,2.0,201.72,0
TXN0000076,CUST00366,14,164.0,1.0,fuel,UK,mobile,1,0,3319.51,2.0,5.0,1207.01,0
TXN0000077,CUST00955,18,220.0,0.0,fashion,US,mobile,0,0,184.73,1.0,1.0,431.73,0
TXN0000078,CUST00454,12,968.0,0.0,fashion,UK,mobile,1,0,1329.89,0.0,1.0,579.23,0
TXN0000079,CUST00427,18,221.0,0.0,online_services,US,,0,1,661.08,0.0,4.0,525.9,0
TXN0000080,CUST00508,16,476.0,0.0,grocery,US,mobile,0,0,162.63,2.0,3.0,482.58,0
TXN0000081,CUST00775,5,101.0,0.0,travel,AU,mobile,1,1,396.21,2.0,7.0,431.63,0
TXN0000082,CUST00942,15,191.0,0.0,travel,US,mobile,0,1,491.6,1.0,2.0,480.29,0
